id,name,description
1,กลุ่มชุดดินที่ 1,กลุ่มดินเหนียวสีดำลึกมาก มีรอยแตกระแหงกว้างและลึก ปฏิกิริยาดินเป็นกรดเล็กน้อยถึงเป็นด่างเล็กน้อย การระบายน้ำเลวถึงค่อนข้างเลว
2,กลุ่มชุดดินที่ 2,กลุ่มดินเหนียวลึกมาก ปฏิกิริยาดินเป็นกรดจัดมาก อาจพบจุดประสีเหลืองฟางข้าวของสารประกอบกำมะถันลึกกว่า 100 ซม. จากผิวดิน การระบายน้ำเลว ความอุดมสมบูรณ์ปานกลาง
3,กลุ่มชุดดินที่ 3,กลุ่มดินเหนียวลึกมากที่เกิดจากตะกอนน้ำกร่อย อาจพบชั้นดินเลนของตะกอนน้ำทะเลที่ไม่มีศักยภาพก่อให้เกิดเป็นดินกรดกำมะถันภายในความลึก 150 ซม. จากผิวดิน ปฏิกิริยาดินเป็นกลางถึงเป็นด่าง การระบายน้ำเลว ความอุดมสมบูรณ์ปานกลางถึงสูง
4,กลุ่มชุดดินที่ 4,กลุ่มดินเหนียวลึกมากที่เกิดจากตะกอนลำน้ำที่มีอายุยังน้อย ปฏิกิริยาดินเป็นกลางถึงเป็นด่าง การระบายน้ำค่อนข้างเลว ความอุดมสมบูรณ์ปานกลาง
5,กลุ่มชุดดินที่ 5,กลุ่มดินเหนียวลึกมากที่เกิดจากตะกอนลำน้ำ ปฏิกิริยาดินเป็นกลางหรือเป็นด่าง การระบายน้ำเลว ความอุดมสมบูรณ์ต่ำถึงปานกลาง
6,กลุ่มชุดดินที่ 6,กลุ่มดินเหนียวลึกมากที่เกิดจากตะกอนลำน้ำ ปฏิกิริยาดินเป็นกรดจัดมากถึงเป็นกรดจัด การระบายน้ำเลวถึงค่อนข้างเลว ความอุดมสมบูรณ์ต่ำ
7,กลุ่มชุดดินที่ 7,กลุ่มดินเหนียวลึกมากที่เกิดจากตะกอนลำน้ำ ปฏิกิริยาดินเป็นกลางถึงเป็นด่าง การระบายน้ำค่อนข้างเลว ความอุดมสมบูรณ์ปานกลาง
8,กลุ่มชุดดินที่ 8,กลุ่มชุดดินที่มีการยกร่อง เพื่อเปลี่ยนสภาพการใช้ที่ดินจากนาข้าวเป็นพืชผักหรือไม้ผล ทำให้ลักษณะและสมบัติดินในแต่ละพื้นที่ไม่สม่ำเสมอ ขึ้นอยู่กับลักษณะและสมบัติดินเดิมก่อนมีการยกร่องและวิธีการเตรียมแปลงปลูก
9,กลุ่มชุดดินที่ 9,กลุ่มดินเหนียวลึกมากที่เกิดจากตะกอนน้ำทะเลที่เป็นดินเค็มและเปรี้ยวจัด ดินบนปฏิกิริยาเป็นกรดรุนแรงมาก ดินล่างปฏิกิริยาเป็นกลางถึงเป็นด่าง การระบายน้ำเลว ความอุดมสมบูรณ์ต่ำถึงปานกลาง
10,กลุ่มชุดดินที่ 10,กลุ่มดินเปรี้ยวจัดตื้นที่เกิดจากตะกอนน้ำทะเล ปฏิกิริยาดินเป็นกรดรุนแรงมาก การระบายน้ำเลว ความอุดมสมบูรณ์ต่ำ
11,กลุ่มชุดดินที่ 11,กลุ่มดินเปรี้ยวจัดลึกปานกลางที่เกิดจากตะกอนน้ำทะเล ปฏิกิริยาดินเป็นกรดจัดมาก การระบายน้ำเลว ความอุดมสมบูรณ์ต่ำ
12,กลุ่มชุดดินที่ 12,กลุ่มดินเลนเค็มชายทะเลและไม่มีศักยภาพก่อให้เกิดเป็นดินกรดกำมะถัน ปฏิกิริยาดินเป็นกลางถึงเป็นด่าง การระบายน้ำเลวมาก ความอุดมสมบูรณ์ปานกลางถึงสูง
13,กลุ่มชุดดินที่ 13,กลุ่มดินเลนเค็มชายทะเลที่มีศักยภาพก่อให้เกิดเป็นดินกรดกำมะถัน ปฏิกิริยาดินเป็นกลางถึงเป็นด่าง การระบายน้ำเลวมาก ความอุดมสมบูรณ์ปานกลางถึงสูง
14,กลุ่มชุดดินที่ 14,กลุ่มดินเปรี้ยวจัดลึกปานกลาง และมีชั้นดินเลนที่มีศักยภาพก่อให้เกิดเป็นดินเปรี้ยวจัด หรือดินกรดกำมะถันภายในความลึก 150 ซม. จากผิวดิน ดินบนปฏิกิริยาเป็นกรดจัดมาก และดินล่างมีปฏิกิริยาดินเป็นกรดเล็กน้อยถึงเป็นด่าง การระบายน้ำเลว ความอุดมสมบูรณ์ติต่ำ
15,กลุ่มชุดดินที่ 15,กลุ่มดินทรายแป้งลึกมากที่เกิดจากตะกอนลำน้ำ ปฏิกิริยาดินเป็นกลางหรือเป็นด่าง การระบายน้ำเลวถึงค่อนข้างเลว ความอุดมสมบูรณ์ต่ำถึงปานกลาง
16,กลุ่มชุดดินที่ 16,กลุ่มดินทรายแป้งลึกมากที่เกิดจากตะกอนลำน้ำ ปฏิกิริยาดินเป็นกรดจัดมาก การระบายน้ำเลว ความอุดมสมบูรณ์ต่ำ
17,กลุ่มชุดดินที่ 17,กลุ่มดินร่วนละเอียดลึกมากที่เกิดจากตะกอนลำน้ำ ปฏิกิริยาดินเป็นกรดจัดมาก การระบายน้ำเลวถึงค่อนข้างเลว ความอุดมสมบูรณ์ต่ำ
18,กลุ่มชุดดินที่ 18,กลุ่มดินร่วนละเอียดลึกมากที่เกิดจากตะกอนลำน้ำ ปฏิกิริยาดินกลางหรือเป็นด่าง การระบายน้ำเลวถึงค่อนข้างเลว ความอุดมสมบูรณ์ต่ำถึงปานกลาง
19,กลุ่มชุดดินที่ 19,กลุ่มดินร่วนหยาบที่เกิดจากตะกอนลำน้ำ มีชั้นแน่นทึบภายในความลึก 100 ซม. จากผิวดิน ปฏิกิริยาดินเป็นกรดจัดมากถึงเป็นด่างเล็กน้อย การระบายน้ำค่อนข้างเลว ความอุดมสมบูรณ์ต่ำ
20,กลุ่มชุดดินที่ 20,กลุ่มดินเค็มเกิดจากตะกอนลำน้ำ มีคราบเกลือลอยหน้าหรือมีชั้นดานแข็งที่สะสมเกลือภายในความลึก 100 ซม. จากผิวดิน ปฏิกิริยาดินเป็นกรดเล็กน้อยถึงเป็นด่าง การะบายน้ำค่อนข้างเลว ความอุดมสมบูรณ์ต่ำ
21,กลุ่มชุดดินที่ 21,กลุ่มดินร่วนหยาบลึกมากที่เกิดจากตะกอนลำน้ำในส่วนต่ำของพื้นที่ริมแม่น้ำ ปฏิกิริยาดินเป็นกรดเล็กน้อยถึงเป็นกลาง การระบายน้ำค่อนข้างเลวถึงดีปานกลาง ความอุดมสมบูรณ์ปานกลาง
